40808,0,30,263
40808,0,46,558
40808,0,81,61
40808,0,94,230
40808,0,102,244
40808,0,358,250
40808,0,400,83
40808,0,506,86
40808,0,510,192
40808,0,517,61
40808,0,537,201
40808,0,636,429
40808,0,717,64
40808,0,841,367
40808,0,998,1
40808,0,1198,827
40808,1,358,518
40808,1,374,221
40808,1,400,114
40808,1,506,179
40808,1,510,204
40808,1,517,32
40808,1,636,449
40808,1,639,6
40808,1,652,426
40808,1,666,205
40808,1,683,123
40808,1,708,775
40808,1,717,102
40808,1,730,186
40808,1,878,30
40808,1,901,333
40808,2,400,187
40808,2,517,127
40808,2,537,11
40808,2,585,298
40808,2,595,382
40808,2,636,250
40808,2,639,350
40808,2,708,505
40808,2,730,21
40808,2,747,467
40808,2,752,140
40808,3,179,83
40808,3,181,54
40808,3,251,180
40808,3,294,115
40808,3,326,553
40808,3,998,284
40808,3,1047,59
40808,3,1051,155
40808,3,1095,156
40808,3,1122,331
40808,3,1129,374
40808,3,1135,255
40808,3,1137,607
40808,3,1163,202
40808,3,1166,200
40808,4,179,562
40808,4,181,390
40808,4,1029,71
40808,5,181,54
40808,5,251,83
40808,5,262,198
40808,5,326,82
40808,5,730,214
40808,5,998,286
40808,6,179,83
40808,6,326,199
40808,6,510,71
40808,6,737,102
40808,6,885,248
40808,6,968,53
40808,6,998,84
40808,6,1029,259
40808,7,69,505
40808,7,81,16
40808,7,102,533
40808,7,110,681
40808,7,251,281
40808,7,400,107
40808,7,469,228
40808,7,506,67
40808,7,636,125
40808,7,730,105
40808,7,752,145
40808,7,841,343
40808,8,14,489
40808,8,39,261
40808,8,46,2
40808,8,69,301
40808,8,78,56
40808,8,81,108
40808,8,94,235
40808,9,181,356
40808,10,14,161
40808,10,30,53
40808,10,39,107
40808,10,78,182
40808,10,81,615
40808,10,179,40
40808,10,326,43
40808,11,683,214
40808,11,878,986
40808,11,885,64
40808,11,894,408
40808,11,901,510
40808,11,931,326
40808,11,947,511
40808,11,968,429
40808,11,1187,292
40808,12,81,15
40808,12,94,581
40808,12,708,125
40808,12,841,429
40808,13,326,22
40808,13,506,250
40808,13,510,482
40808,13,652,64
40808,13,666,10
40808,13,717,240
40808,13,737,96
40808,13,1051,84
40808,14,400,63
40808,14,730,92
40808,14,737,10
40808,14,747,162
40808,14,800,358
40808,14,841,453
40808,15,181,71
40808,15,262,97
40808,16,747,171
40808,16,1047,125
40808,17,506,107
40808,17,537,21
40808,17,998,83
40808,17,1051,63
40808,18,326,250
40808,18,1047,196
40808,18,1051,63
40808,18,1095,250
40808,18,1122,250
40808,18,1129,674
40808,18,1135,110
40808,18,1137,468
40808,19,81,77
40808,19,294,268
40808,19,326,86
40808,19,517,63
40808,19,537,125
40808,19,717,102
40832,0,22,142
40832,0,35,608
40832,0,40,1
40832,0,46,214
40832,0,51,285
40832,0,69,245
40832,0,78,50
40832,0,87,347
40832,0,94,13
40832,0,251,321
40832,0,262,36
40832,0,324,429
40832,0,390,2
40832,0,506,21
40832,0,510,318
40832,0,562,370
40832,0,666,209
40832,0,717,121
40832,0,747,102
40832,0,808,12
40832,0,827,192
40832,0,993,199
40832,0,1038,150
40832,0,1188,839
40832,1,390,125
40832,1,469,260
40832,1,506,258
40832,1,562,95
40832,1,585,115
40832,1,595,283
40832,1,634,142
40832,1,639,25
40832,1,708,67
40832,1,717,64
40832,1,737,181
40832,1,747,571
40832,1,912,5
40832,2,358,446
40832,2,479,309
40832,2,506,441
40832,2,562,568
40832,2,585,83
40832,2,639,166
40832,2,878,96
40832,2,885,27
40832,3,204,269
40832,3,251,240
40832,3,288,129
40832,3,294,10
40832,3,324,72
40832,3,326,125
40832,3,901,285
40832,3,993,154
40832,3,1038,351
40832,3,1039,64
40832,3,1051,287
40832,3,1092,269
