40800,V,0,3940
40800,M,0,0
40800,MM,0,24106
40800,F,0,1120369
40801,V,0,3940
40801,M,0,0
40801,MM,0,27134
40801,F,0,1117341
40802,V,0,3940
40802,M,0,0
40802,MM,0,28556
40802,F,0,1115919
40803,V,0,3940
40803,M,0,0
40803,MM,0,29735
40803,F,0,1114740
40804,V,0,3940
40804,M,0,0
40804,MM,0,31200
40804,F,0,1113275
40805,V,0,3940
40805,M,0,0
40805,MM,0,33698
40805,F,0,1110777
40806,V,0,3940
40806,M,0,0
40806,MM,0,35375
40806,F,0,1109100
40807,V,0,0
40807,M,0,39315
40807,MM,0,0
40807,F,0,1109100
40808,V,0,0
40808,M,0,37058
40808,MM,0,0
40808,F,0,1109100
40809,V,0,0
40809,M,0,34863
40809,MM,0,0
40809,F,0,1109100
40810,V,0,0
40810,M,0,32716
40810,MM,0,0
40810,F,0,1109100
40811,V,0,0
40811,M,0,30505
40811,MM,0,0
40811,F,0,1109100
40812,V,0,0
40812,M,0,28316
40812,MM,0,0
40812,F,0,1109100
40813,V,0,0
40813,M,0,25997
40813,MM,0,1708
40813,F,0,1149388
40814,V,0,0
40814,M,0,23779
40814,MM,0,2476
40814,F,0,1148620
40815,V,0,0
40815,M,0,21535
40815,MM,0,4168
40815,F,0,1146928
40816,V,0,0
40816,M,0,19368
40816,MM,0,5562
40816,F,0,1145534
40817,V,0,0
40817,M,0,17131
40817,MM,0,9913
40817,F,0,1141183
40818,V,0,0
40818,M,0,14955
40818,MM,0,13419
40818,F,0,1137677
40819,V,0,0
40819,M,0,12717
40819,MM,0,14783
40819,F,0,1136313
40820,V,0,0
40820,M,0,10531
40820,MM,0,17983
40820,F,0,1133113
40821,V,0,0
40821,M,0,8485
40821,MM,0,19954
40821,F,0,1131142
40822,V,0,0
40822,M,0,6380
40822,MM,0,21550
40822,F,0,1129546
40823,V,0,0
40823,M,0,4427
40823,MM,0,23604
40823,F,0,1127492
40824,V,0,4427
40824,M,0,0
40824,MM,0,25222
40824,F,0,1125874
40825,V,0,4427
40825,M,0,0
40825,MM,0,26945
40825,F,1,1124151
40826,V,0,4427
40826,M,0,0
40826,MM,0,27435
40826,F,1,1123661
40827,V,0,4427
40827,M,0,0
40827,MM,0,29231
40827,F,1,1121865
40828,V,0,4427
40828,M,0,0
40828,MM,0,31102
40828,F,1,1119994
40829,V,0,4427
40829,M,0,0
40829,MM,0,33003
40829,F,1,1118093
40830,V,0,4427
40830,M,0,0
40830,MM,0,34488
40830,F,1,1116608
40831,V,0,0
40831,M,0,38177
40831,MM,0,738
40831,F,2,1116608
40832,V,0,0
40832,M,0,36068
40832,MM,0,738
40832,F,2,1116608
40833,V,0,0
40833,M,0,33873
40833,MM,0,738
40833,F,2,1116608
40834,V,0,0
