40800,V,3940
40800,M,0
40800,MM,24106
40800,F,1120369
40801,V,3940
40801,M,0
40801,MM,27134
40801,F,1117341
40802,V,3940
40802,M,0
40802,MM,28556
40802,F,1115919
40803,V,3940
40803,M,0
40803,MM,29735
40803,F,1114740
40804,V,3940
40804,M,0
40804,MM,31200
40804,F,1113275
40805,V,3940
40805,M,0
40805,MM,33698
40805,F,1110777
40806,V,3940
40806,M,0
40806,MM,35375
40806,F,1109100
40807,V,0
40807,M,39315
40807,MM,0
40807,F,1109100
40808,V,0
40808,M,37058
40808,MM,0
40808,F,1109100
40809,V,0
40809,M,34863
40809,MM,0
40809,F,1109100
40810,V,0
40810,M,32716
40810,MM,0
40810,F,1109100
40811,V,0
40811,M,30505
40811,MM,0
40811,F,1109100
40812,V,0
40812,M,28316
40812,MM,0
40812,F,1109100
40813,V,0
40813,M,25997
40813,MM,1708
40813,F,1149388
40814,V,0
40814,M,23779
40814,MM,2476
40814,F,1148620
40815,V,0
40815,M,21535
40815,MM,4168
40815,F,1146928
40816,V,0
40816,M,19368
40816,MM,5562
40816,F,1145534
40817,V,0
40817,M,17131
40817,MM,9913
40817,F,1141183
40818,V,0
40818,M,14955
40818,MM,13419
40818,F,1137677
40819,V,0
40819,M,12717
40819,MM,14783
40819,F,1136313
40820,V,0
40820,M,10531
40820,MM,17983
40820,F,1133113
40821,V,0
40821,M,8485
40821,MM,19954
40821,F,1131142
40822,V,0
40822,M,6380
40822,MM,21550
40822,F,1129546
40823,V,0
40823,M,4427
40823,MM,23604
40823,F,1127492
40824,V,4427
40824,M,0
40824,MM,25222
40824,F,1125874
40825,V,4427
40825,M,0
40825,MM,26945
40825,F,1124151
40826,V,4427
40826,M,0
40826,MM,27435
40826,F,1123661
40827,V,4427
40827,M,0
40827,MM,29231
40827,F,1121865
40828,V,4427
40828,M,0
40828,MM,31102
40828,F,1119994
40829,V,4427
40829,M,0
40829,MM,33003
40829,F,1118093
40830,V,4427
40830,M,0
40830,MM,34488
40830,F,1116608
40831,V,0
40831,M,38177
40831,MM,738
40831,F,1116608
40832,V,0
40832,M,36068
40832,MM,738
40832,F,1116608
40833,V,0
40833,M,33873
40833,MM,738
40833,F,1116608
40834,V,0
40834,M,31688
40834,MM,738
40834,F,1116608
40835,V,0
40835,M,29471
40835,MM,738
40835,F,1116608
40836,V,0
40836,M,27408
40836,MM,738
40836,F,1116608
40837,V,0
40837,M,25196
40837,MM,2767
40837,F,1152042
40838,V,0
40838,M,23034
40838,MM,4516
40838,F,1150293
40839,V,0
40839,M,20863
40839,MM,7377
40839,F,1147432
40840,V,0
40840,M,18727
40840,MM,9612
40840,F,1145197
40841,V,0
40841,M,16555
40841,MM,11680
40841,F,1143129
40842,V,0
40842,M,14465
40842,MM,13302
40842,F,1141507
40843,V,0
40843,M,12380
40843,MM,15145
40843,F,1139664
40844,V,0
40844,M,10297
40844,MM,16400
40844,F,1138409
40845,V,0
40845,M,8131
40845,MM,20429
40845,F,1134380
40846,V,0
40846,M,6126
40846,MM,23532
40846,F,1131277
40847,V,0
40847,M,4074
40847,MM,25952
40847,F,1128857
40848,V,4074
40848,M,0
40848,MM,26885
40848,F,1127924
40849,V,4074
40849,M,0
40849,MM,28139
40849,F,1126670
40850,V,4074
40850,M,0
40850,MM,29669
40850,F,1125140
40851,V,4074
40851,M,0
40851,MM,31090
40851,F,1123719
40852,V,4074
40852,M,0
40852,MM,32648
40852,F,1122161
40853,V,4074
40853,M,0
40853,MM,33696
40853,F,1121113
40854,V,4074
40854,M,0
40854,MM,35972
40854,F,1118837
40855,V,0
40855,M,39995
40855,MM,51
40855,F,1118837
40856,V,0
40856,M,37697
40856,MM,51
40856,F,1118837
40857,V,0
40857,M,35545
40857,MM,51
40857,F,1118837
40858,V,0
40858,M,33331
40858,MM,51
40858,F,1118837
40859,V,0
40859,M,31138
40859,MM,51
40859,F,1118837
40860,V,0
40860,M,28875
40860,MM,51
40860,F,1118837
40861,V,0
40861,M,26607
40861,MM,1749
40861,F,1169295
40862,V,0
40862,M,24356
40862,MM,3769
40862,F,1167275
40863,V,0
40863,M,22155
40863,MM,4760
40863,F,1166284
40864,V,0
40864,M,19933
40864,MM,7021
40864,F,1164023
40865,V,0
40865,M,17761
40865,MM,10060
40865,F,1160984
40866,V,0
40866,M,15483
40866,MM,10908
40866,F,1160136
40867,V,0
40867,M,13289
40867,MM,12942
40867,F,1158102
40868,V,0
40868,M,11125
40868,MM,15157
40868,F,1155887
40869,V,0
40869,M,8978
40869,MM,17057
40869,F,1153987
40870,V,0
40870,M,6815
40870,MM,18072
40870,F,1152972
40871,V,0
40871,M,4801
40871,MM,19290
40871,F,1151754
40872,V,4801
40872,M,0
40872,MM,21290
40872,F,1149754
40873,V,4801
40873,M,0
40873,MM,23598
40873,F,1147446
40874,V,4801
40874,M,0
40874,MM,25989
40874,F,1145055
40875,V,4801
40875,M,0
40875,MM,29800
40875,F,1141244
40876,V,4801
40876,M,0
40876,MM,30903
40876,F,1140141
40877,V,4801
40877,M,0
40877,MM,33254
40877,F,1137790
40878,V,4801
40878,M,0
40878,MM,36793
40878,F,1134251
40879,V,0
40879,M,41594
40879,MM,0
40879,F,1134251
40880,V,0
40880,M,39376
40880,MM,0
40880,F,1134251
40881,V,0
40881,M,36944
